Page,DESCRIPTION,REPL. COST,,,MAX ADDL.
5,Hand mixer,,,,| $41.83
5,Hand mixer,,,,
5,In sole foot heater FOMIYE,,,1.00 EA,$54.75
5,Humidifier,,,"3,00 EA",$194.76
5,Humidifier,,,1.00 EA,$0.00
5,Humidifier - High grade,,,1.00 EA,$136.13
5,Ice cream maker / machine,,,1.00 EA,$0.00
5,Iron - Clothing / Clothes,,,2.00 EA,$73.30
5,Coffee French Press,,,2.00 EA,$102.58
5,Jar blender,,,"1,00 EA",$0.00
5,Juicer - Electric,,,1.00 EA,$136.07
5,Juicer - Electric,,,1.00 EA,$0.00
5,Juicer - Electric,,,1.00 EA,$136.07
5,Note: Slight variances may be found within,report sections due,to rounding,,
5,5154K577],,,,
6,Trade Summary,,,,
6,"Includes all applicable Tax, General Contractor O&P,",and Labor Minimums,,,
6,DESCRIPTION LINEITEM,REPL. COST,ACV,NON-REC.,MAX ADDL.
6,QTY,TOTAL,,DEPREC. AMT,AVAIL.
6,APS - SMALL,,,,
6,Juicer - mixer 1.00 EA,$136.07,$95.24,$0.00,$40.83
6,Kettle - Electric 1.00 EA,$0.00,$0.00,$0.00,$0.00
6,Microwave - Countertop 1.00 EA,$162.30,$48.69,$0.00,$113.61
6,Microwave - Countertop 1.00 EA,$162.30,$48.69,$0.00,$113.61
6,Microwave - Countertop 1.00 EA,$0.00,$0.00,$0.00,$0.00
6,Microwave - Countertop 1.00 EA,$162.30,$113.61,$0.00,$48.69
6,Popcom popper / Maker 1.00 EA,$47.12,$37.70,$0.00,$9.42
6,Popcom popper / Maker 1.00 EA,$0.00,$0.00,$0.00,$0.00
6,Rice cooker / Steamer EA,$159.99,$79.99,$0.00,$80.00
6,Rice cooker / Steamer EA,$0.00,$0.00,$0.00,$0.00
6,Rice cooker / Steamer | 1.00 EA,$159.99,$127.99,$0.00,$32.00
6,"Salton Automatic Rice Cooker & Steamer ; 10 Cup, RC2088 1.00 EA",$52.35,$26.17,$0.00,$26.18
6,Slow cooker / Crock pot EA,$62.77,$51.47,$0.00,$11.30
6,Slow cooker / Crock pot 1.00 EA,$0.00,$0.00,$0.00,$0.00
6,Slow cooker / Crock pot 1.00 EA,$62.77,$40.17,$0.00,$22.60
6,Crock-Pot - Crockpot 7 qt. Programmable Slow Cooker with Locking Lid and 1.00 EA,$83.76,$41.87,$0.00,$41.89
6,"Little Dipper - Mushroom, 2157188",,,,
6,Slicer - Electric 1.00 EA,$0.00,$0.00,$0.00,$0.00
6,Stand mixer 1.00 EA,$209.41,$104.70,$0.00,$104.71
6,"Stand mixer 1,00 EA",$0.00,$0.00,$0.00,$0.00
6,Note: Slight variances may be found within report sections due to rounding,,,,
6,,,,,Page:131
7,,,,Trade Summary,
7,,,[ncludes all,"Tax, General Contractor","O&P, and Labor"
7,DESCRIPTION,,,,LINEITEM
7,,,,,QTY
7,APS APPLIANCES - SMALL,,,,
7,Stand mixer,,,,EA
7,"2-slice Toaster Oster, TSSTICSBBK",,,,1.00 EA
7,Toaster - Conventional,,,,1.00 EA
7,Toaster - Conventional,,,,1.00 EA
7,Toaster - Conventional,,,,"1,00 EA"
7,Toaster - Oven / Broiler,,,,
7,"Toaster Oven Broiler With Convection,",TOB60N2BKS2,,,100 BA
7,Rotisserie oven,,,,"1,00 BA"
7,Rotisserie oven,,,,"1,00 EA"
7,Steam cleaner,,,,3.00 EA
7,Vacuum - Upright,,,,1.00 EA
7,maker,,,,EA
7,Waffle maker,,,,"1,00 EA"
7,Waffle maker,,,,"1,00 EA"
7,Waffle maker,,,,1.00 EA
7,Water punifier,,,,1.00 EA
7,Water purifier,,,,1.00 EA
7,Water purifier,,|,,1.00 EA
7,TOTAL APPLIANCES - SMALL,,,,
7,ART ARTWORK,,,,
7,Note: Slight variances may be found within,report sections,due to rounding,,
7,,,,,
8,,Trade Summary,,,
8,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,,
8,DESCRIPTION,LINEITEM,"REPL, COST",ACV,
8,,QTY,TOTAL,,DEPREC.
8,ART ARTWORK,,,,
8,Painting - Artwork,EA,$433.50,$433.50,$0.00
8,Painting - Artwork,"5,00 EA","$1,256.54","$1,256.54",$0.00
8,Painting - Artwork,,$0.00,$0.00,$0.00
8,,,,$5026,$0.00
8,Lithograph,2.00 EA,$0.00,$0.00,$0.00
8,Framed artwork / print,4.00 EA,$222.00,$94.35,$0.00
8,Framed artwork / print,4.00 EA,"$1,256.54",$628.27,$0.00
8,Framed artwork / print,BA,$0.00,$0.00,$0.00
8,Framed artwork / print,3.00 EA,$166.49,$99.89,$0.00
8,Framed artwork / print - Christian Reese Lassen Artwork,1.00 EA,$125.65,$50.26,$0.00
8,Framed artwork / print Last Super Velvet Painting,1.00 EA,$55.50,$11.10,$0.00
8,Framed artwork / print - Premium grade Christian Reese Lassen Framed,1.00 EA,$0.00,$0.00,$0.00
8,Artwork,,,,
8,Tapestry,2.00 EA,$312.04,$312.04,$0.00
8,Tapestry,2.00 EA,$0.00,$0.00,$0.00
8,Tapestry Heirloom 7,"1,00 EA",$156.02,$156.02,$0.00
8,Tapestry Mexican Blanket |,1.00 EA,$156.02,$156.02,$0.00
8,Wall decor,25.00 EA,"$1,178.01",$325.12,$0.00
8,Wall decor,"5,00 EA",$235.60,$47.12,$0.00
8,Wall decor,"3,00 EA",$0.00,$0.00,$0.00
8,Note: Slight variances may be found within report sections due to rounding,,,,
8,,,,,
9,,,Trade Summary,,
9,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
9,DESCRIPTION,,LINEITEM,REPL. COST,ACV
9,,,QTY,TOTAL,
9,ART ARTWORK,,,,
9,Wall decor,,7.00 EA,$329.84,$98.95
9,TOTAL ARTWORK,,,"$6,009.40","$3,719.44"
9,BMP MAGAZINES & PERIODICALS,,,,
9,Cookbooks,,10.00 EA,$418.85,$209.42
9,Hardback Books,,25.00 EA,$497.12,$248.55
9,Coffee table book,,EA,$0.00,
9,Coffee table book,,1.00 EA,$18.85,$3.77
9,Cookbook,,5.00 EA,$94.24,$18.85
9,Cookbook,,1.00 EA,$31.40,$6.28
9,Cookbook,,1.00 EA,$0.00,$0.00
9,Cookbook,,3.00 EA,$94.21,$18.84
9,Hardback book,,25.00 EA,$523.56,$261.78
9,Hardback book,,25.00 EA,$523.56,$261.78
9,Hardback book,,1.00 EA,$0.00,$0.00
9,Hardback book,,10.00 EA,$209.42,$104.71
9,Hardback book Family Bible (heirloom),,1.00 EA,$523.56,$261.78
9,Bibles Large Print Hard Cover,,2.00 EA,$293.19,$146.59
9,Hardback book - High grade,,2.00 EA,$75.39,$37.69
9,Drawing/Sketch Hard Cover Books,,10.00 EA,"$1,256.54",$628.27
9,Magazine,,5.00 EA,$31.41,$15.70
9,Note: Slight variances may be found within report sections,due to rounding,,,
9,5154K577),,,,
10,,,Trade Summary,,
10,,Includes all applicable,"Tax, General Contractor","O&P, and Labor",Minimums
10,DESCRIPTION,,,LINEITEM,COST
10,,,,QTY,TOTAL
10,"BMP BOOKS, MAGAZINES & PERIODICALS",,,,
